ADC, mV wed_noor_calib4_period05_replugged 
796.000000, 330.000000
793.000000, 330.000000
787.000000, 330.000000
799.000000, 330.000000
793.000000, 330.000000
796.000000, 335.000000
799.000000, 335.000000
806.000000, 335.000000
799.000000, 335.000000
792.000000, 335.000000
799.000000, 335.000000
796.000000, 335.000000
787.000000, 335.000000
796.000000, 335.000000
798.000000, 335.000000
807.000000, 340.000000
799.000000, 340.000000
799.000000, 340.000000
798.000000, 340.000000
807.000000, 340.000000
799.000000, 340.000000
792.000000, 340.000000
807.000000, 340.000000
807.000000, 340.000000
793.000000, 340.000000
796.000000, 345.000000
796.000000, 345.000000
807.000000, 345.000000
799.000000, 345.000000
803.000000, 345.000000
796.000000, 345.000000
809.000000, 345.000000
799.000000, 345.000000
807.000000, 345.000000
803.000000, 345.000000
807.000000, 350.000000
812.000000, 350.000000
807.000000, 350.000000
816.000000, 350.000000
799.000000, 350.000000
812.000000, 350.000000
809.000000, 350.000000
799.000000, 350.000000
812.000000, 350.000000
809.000000, 350.000000
799.000000, 355.000000
812.000000, 355.000000
803.000000, 355.000000
803.000000, 355.000000
819.000000, 355.000000
803.000000, 355.000000
812.000000, 355.000000
805.000000, 355.000000
816.000000, 355.000000
816.000000, 355.000000
803.000000, 360.000000
814.000000, 360.000000
819.000000, 360.000000
814.000000, 360.000000
824.000000, 360.000000
824.000000, 360.000000
817.000000, 360.000000
807.000000, 360.000000
824.000000, 360.000000
807.000000, 360.000000
824.000000, 365.000000
810.000000, 365.000000
818.000000, 365.000000
816.000000, 365.000000
812.000000, 365.000000
816.000000, 365.000000
824.000000, 365.000000
819.000000, 365.000000
816.000000, 365.000000
810.000000, 365.000000
807.000000, 370.000000
818.000000, 370.000000
812.000000, 370.000000
828.000000, 370.000000
814.000000, 370.000000
812.000000, 370.000000
824.000000, 370.000000
812.000000, 370.000000
817.000000, 370.000000
807.000000, 370.000000
814.000000, 375.000000
830.000000, 375.000000
824.000000, 375.000000
814.000000, 375.000000
830.000000, 375.000000
830.000000, 375.000000
818.000000, 375.000000
831.000000, 375.000000
818.000000, 375.000000
816.000000, 375.000000
828.000000, 380.000000
825.000000, 380.000000
817.000000, 380.000000
830.000000, 380.000000
831.000000, 380.000000
829.000000, 380.000000
819.000000, 380.000000
824.000000, 380.000000
831.000000, 380.000000
825.000000, 380.000000
830.000000, 385.000000
825.000000, 385.000000
831.000000, 385.000000
831.000000, 385.000000
831.000000, 385.000000
837.000000, 385.000000
828.000000, 385.000000
828.000000, 385.000000
828.000000, 385.000000
824.000000, 385.000000
828.000000, 390.000000
824.000000, 390.000000
828.000000, 390.000000
830.000000, 390.000000
831.000000, 390.000000
835.000000, 390.000000
830.000000, 390.000000
835.000000, 390.000000
819.000000, 390.000000
830.000000, 390.000000
831.000000, 395.000000
844.000000, 395.000000
831.000000, 395.000000
824.000000, 395.000000
844.000000, 395.000000
824.000000, 395.000000
828.000000, 395.000000
830.000000, 395.000000
830.000000, 395.000000
835.000000, 395.000000
828.000000, 400.000000
828.000000, 400.000000
846.000000, 400.000000
835.000000, 400.000000
846.000000, 400.000000
838.000000, 400.000000
842.000000, 400.000000
831.000000, 400.000000
839.000000, 400.000000
828.000000, 400.000000
839.000000, 405.000000
831.000000, 405.000000
831.000000, 405.000000
831.000000, 405.000000
831.000000, 405.000000
847.000000, 405.000000
831.000000, 405.000000
831.000000, 405.000000
837.000000, 405.000000
829.000000, 405.000000
836.000000, 410.000000
839.000000, 410.000000
835.000000, 410.000000
831.000000, 410.000000
837.000000, 410.000000
839.000000, 410.000000
846.000000, 410.000000
847.000000, 410.000000
831.000000, 410.000000
851.000000, 410.000000
839.000000, 415.000000
835.000000, 415.000000
839.000000, 415.000000
835.000000, 415.000000
844.000000, 415.000000
846.000000, 415.000000
856.000000, 415.000000
831.000000, 415.000000
831.000000, 415.000000
844.000000, 415.000000
847.000000, 420.000000
839.000000, 420.000000
851.000000, 420.000000
839.000000, 420.000000
851.000000, 420.000000
844.000000, 420.000000
846.000000, 420.000000
847.000000, 420.000000
